Basho,Overall,Ajigawa-205,Arashio-303,Asahiyama-204,Asakayama-203,Dewanoumi-28,Fujishima-3,Futagoyama-4,Hakkaku-402,Hanaregoma-110,Ikazuchi-5,Isegahama-200,Isenoumi-305,Kasugano-2,Kataonami-109,Kise-6,Kokonoe-403,Michinoku-302,Minato-111,Miyagino-210,Musashigawa-9,Naruto-113,Nishiiwa-114,Nishikido-405,Nishonoseki-100,Oitekaze-307,Onoe-10,Onomatsu-116,Oshima-201,Oshiogawa-117,Otake-115,Sadogatake-112,Sakaigawa-11,Shibatayama-108,Shikihide-12,Shikoroyama-119,Tagonoura-101,Takadagawa-120,Takasago-400,Takekuma-13,Tamanoi-14,Tatsunami-1,Tokitsukaze-300,Tokiwayama-107,Yamahibiki-8,Araiso-121,Asahiyama-208,Azumazeki-407,Futagoyama-102,Futagoyama-517,Hanakago-531,Hanakago-103,Hanakago-122,Hanaregoma-106,Hatachiyama-16,Isegahama-206,Izutsu-301,Kabutoyama-310,Kagamiyama-312,Kasugayama-537,Kasugayama-224,Kasugayama-231,Kiriyama-207,Kise-223,Kokonoe-404,Kumagatani-209,Kumagatani-213,Magaki-220,Magaki-124,Michinoku-320,Mihogaseki-7,Minatogawa-535,Minatogawa-126,Minezaki-123,Miyagino-533,Nakagawa-217,Nakagawa-309,Nakamura-128,Nakamura-406,Nishikijima-306,Nishonoseki-105,Oguruma-118,Oitekaze-221,Onaruto-218,Onaruto-215,Onogawa-19,Onogawa-20,Oshima-214,Oshiogawa-125,Oyama-411,Sadogatake-414,Sanoyama-410,Tagonoura-15,Takanohana-104,Takasago-401,Takashima-216,Takashima-212,Takekuma-229,Takekuma-211,Tamanoi-525,Tanigawa-219,Tatsutagawa-311,Tomozuna-501,Urakaze-230,Wakafuji-228,Yamawake-26
1953-01,417-90,,,,,40-13,,,,,,,11-2,11-2,,,,13-2,,,,,,,,,,,13-4,,,,,,,,,,9-3,,,33-11-Y Haguroyama,32-13,,,,9-2,,,,,7-2,,,,28-10,,,,,,,,,,2-0,,,,2-0,4-1,,,,2-2,,,2-1,,6-3,32-6,,4-1,,,,3-2,,,2-1,,,,,31-9,,,1-0,,,,,,,,
1953-03,429-92,,,,,38-13,,,,,,,11-2,11-2,,,,13-2,,,,,,,,,,,14-4,,,,,,,,,,9-2,,,32-12,34-14,,,,10-2,,,,,9-2,,,,24-9-Araiso-Y Terukuni,,,,,,,,,,2-0,,,,2-0,4-1,,,,2-2,,,2-1,,5-3,31-6,,4-1,,,,3-2,,,3-1,,,,,32-11,,,1-0,,,,,,,,
1953-05,463-91,,,,,38-15,,,,,,,12-2,12-2,,,,11-2,,,,,,,,,,,14-4,,,,,,,,,,9-2,,,34-12,35-12,,,,10-2,,,,,11-2,,,,24-9,,,,,,,,,,2-0,,,,2-0,4-1,,1-0-Minatogawa-M1 Tokachiiwa,,2-2,,,2-1,,5-3,31-6,,5-1,,,,3-2,,,3-1,,,,,32-10,,,1-0,,,,,,,,
1953-09,493-91,,,,,35-14,,,,,,,12-2,13-2,,,,9-2,,,,,,,,,,,14-4,,,,,,,,,,10-2,,,34-13,38-13,,,,9-1,,,,,12-2-Hanakago,,,,26-9,,,,,,,,,,2-0,,,,2-0,4-1,,1-0,,2-2,,,2-1,,5-3,31-6,,5-1,,,,3-2,,,3-1,,,,,31-10,,,1-0,,,,,,,,
1954-01,507-92,,,,,35-14,,,,,,,12-2,14-2,,,,9-2,,,,,,,,,,,14-5,,,,,,,,,,7-0-Nishiiwa-M3 Shachinosato,,,33-12,39-12,,,,9-1,,,,,13-3,,,,27-9,,,,,,,,,,2-0,,,,2-0,4-1,,1-0,,2-2,,,2-1,,5-3,33-7,,5-1,,,,3-2,,,3-1,,,,,31-10,,,1-0,,,,,,,,
1954-03,512-95,,,,,36-14,,,,,,,11-2,14-2,,,,9-2,,,,,,,,,,,15-5,,,,,,,,,,7-0,,,33-14,37-11,,,,9-1,,,,,15-3,,,,27-9,,,,,,,,,,2-0,,,,2-0,4-1,,1-0,,2-2,,,2-1,,5-3,32-8,,5-1,,,,3-2,,,3-1,,,,,30-11,,,1-0,,,,,,,,
1954-05,526-96,,,,,37-15,,,,,,,11-1,13-4,,,,8-2,,,,,,,,,,,16-5,,,,,,,,,,7-0,,,34-13,38-12,,,,9-1,,,,,17-3,,,,28-8,,,,,,,,,,2-0,,,,2-0,4-1,,1-0,,2-2,,,2-1,,4-3,31-8,,5-1,,,,3-2,,,3-1,,,,,30-11,,,1-0,,,,,,0-0-Urakaze-M5 Taroyama,,
1954-09,584-97,,,,,36-14,,,,,,,13-1,13-4,,,,9-2,,,,,,,,,,,17-5,,,,,,,,,,7-0,,,36-12,37-12,,,,9-2,,,,,18-3,,,,29-9,,,,,,,,,,2-0,,,,2-0,4-1,,1-0,,2-2,,,2-1,,5-3,30-9,,6-1,,,,3-2,,,3-1,,,,,30-11,,,,,,,,,0-0,,
1955-01,625-94,,,,,39-14,,,,,,,11-1,15-5,,,,9-3,,,,,,,,,,,18-5,,,,,,,,,,7-0,,,36-11,39-11,,,,9-2,,,,,20-2,,,,29-8,,,,,,,,,,2-0,,,,2-0,4-1,,1-0,,1-1,,,2-1,,5-3,34-8,,6-2,,,,3-3,,,3-1,,,,,27-10,,,,,,,,,0-0,,
1955-03,657-94,,,,,37-15,,,,,,,10-1,15-4,,,,9-5,,,,,,,,,,,18-5,,,,,,,,,,6-0,,,36-11,40-11,,,,9-2,,,,,21-2,,,,30-8,,,,,,,,,,2-0,,,,1-0,5-1,,1-0,,1-1,,,2-1,,5-2,34-8,,6-2,,,,3-3,,,5-1,,1-0-Sanoyama-M2 Asahibiki,,,29-10,,,,,,,,,1-0,,
1955-05,680-94,,,,,38-14,,,,,,,12-1,17-5,,,,9-5,,,,,,,,,,,18-6,,,,,,,,,,6-0,,,34-10,42-11,,,,10-2,,,,,20-2,,,,27-7,,,,,3-1-Kasugayama-O Nayoroiwa,,,,,2-0,,,,1-0,5-1,,1-0,,1-1,,,2-1,,4-2,36-7,,7-2,,,,3-3,,,5-1,,1-0,,,29-10,,,,,,,,,1-0,,
1955-09,702-96,,,,,36-14,,,,,,,13-1,19-5,,,,9-4,,,,,,,,,,,19-6,,,3-0-Sadogatake-K Kotonishiki,,,,,,,6-0,,,37-11,41-11,,,,10-3,,,,,20-4,,,,27-7,,,,,3-1,,,,,2-0,,,,1-0,5-1,,1-0,,1-1,,,2-1,,4-2,32-6,,8-2,,,,3-3,,,5-1,,1-0,,,29-10,,,,,,,,,1-0,,
1956-01,697-99,,,,,36-14,,,,,,,13-1,21-6,,,,10-5,,,,,,,,,,,22-7,,,4-0,,,,,,,6-0,,,40-10,43-10,,,,10-3,,,,,21-3,,,,27-7,,,,,3-1,,,,,2-0,,,,1-0,5-1,,1-0,,1-1,,,2-1,,4-2,32-8,,8-2,,,,3-3,,,5-1,,1-0,,,29-11,,,,,,,,,1-0,,
1956-03,727-102,,,,,36-14,,,,,,,13-2,21-5,,,,12-5,,,,,,,,,,,22-7,,,4-0,,,,,,,6-0,,,41-9,43-11,,,,10-3,,,,,21-4,,,,26-7,,,,,3-1,,,,,2-0,,,,1-1,5-1,,1-0,,1-1,,,4-1,,4-2,34-8,,8-2,,,,3-3,,,5-1,,2-0,,,30-12,,,,,,,,,1-0,,
1956-05,770-102,,,,,39-13,,,,,,,15-2,21-5,,,,14-5,,,,,,,,,,,21-6,,,5-0,,,,,,,8-3-Wakamatsu,,,42-9,43-10,,,,8-3,,,,,22-4,,,,28-8,,,,,3-1,,,,,2-0,,,,1-1,5-1,,1-0,,1-1,,,4-1,,5-2,38-8,,8-2,,,,4-3,,,4-1,,2-0,,,31-13,,,,,,,,,1-0,,
1956-09,795-101,,,,,40-13,,,,,,,15-1,23-5,,,,15-4,,,,,,,,,,,23-6,,,5-0,,,,,,,8-3,,,43-9,43-10,,,,9-3,,,,,28-4,,,,29-8,,,,,3-1,,,0-0-Kise-M1 Katsuragawa,,1-0,,,,1-1,6-1,,1-0,,1-1,,,4-2,,5-2-Gyoji Kimura Kesazo,40-7,,8-2,,,,4-3,,,5-1,,2-0,,,37-14,,,,,,,,,1-0,,
1957-01,823-101,,,,,41-13,,,,,,,15-1,27-6,,,,16-4,,,,,,,,,,,25-7,,,6-0,,,,,,,7-3,,,45-10,41-9,,,,9-3,,,,,29-4,,,,27-7,,,,,3-1,,,0-0,,1-0,,,,1-1,6-1,,1-0,,,,,4-2,,5-2,41-7,,8-2,,,,4-3,,,5-1,,2-0,,,38-14,,,,,,,,,1-0,,
1957-03,836-104,,,,,42-14,,,,,,,15-1,31-6,,,,15-4,,,,,,,,,,,26-7,,,6-0,,,,,,,7-2,,,46-10,40-10,,,,10-3,,,,,29-4,,,,29-8,,,,,3-0,,,0-0,,,,,,1-1,6-1,,1-0,,,,,4-2,,5-2,45-9,,8-2,,,,5-3,,,5-1,,2-0,,,38-14,,,,,,,,,1-0,,
1957-05,844-104,,,,,39-14,,,,,,,14-1,32-5,,,,15-4,,,,,,,,,,,26-7,,,8-0,,,,,,,7-2,,,46-11,40-10,,,,11-3,,,,,29-4,,,,30-9,,,,,3-0,,,0-0,,,,,,1-1,8-1,,1-0,,,,,5-2,,5-2,44-9,,8-2,,,,5-3,,,5-1,,2-0,,,39-13,,,,,,,,,1-0,,
1957-09,793-104,,,,,40-15,,,,,,,15-2,32-5,,,,14-4,,,,,,,,,,,26-7,,,8-0,,,,,,,5-2,,,44-10,36-9,,,,10-3,,,,,29-4,,,,30-9,,,,,3-0,,,0-0,,,,,,1-1,8-1,,1-0,,,,,5-2,,5-2,43-9,,7-2,,,,5-3,,,5-1,,2-0,,,37-13,,,,,,,,,1-0,,
1957-11,752-104,,,,,40-14,,,,,,,15-3,31-5,,,,15-4,,,,,,,,,,,26-8,,,8-0,,,,,,,4-2,,,44-9,37-10,,,,10-3,,,,,30-4,,,,30-9,,,,,3-0,,,0-0,,,,,,1-1,8-1,,1-0,,,,,5-2,,5-2,42-9,,6-1,,,,5-3,,,5-1,,2-0,,,35-13,,,,,,,,,1-0,,
1958-01,754-103,,,,,42-15,,,,,,,15-3,31-5,,,,15-4,,,,,,,,,,,26-8,,,8-0,,,,,,,4-2,,,48-9,38-10,,,,10-3,,,,,29-5,,,,31-8,,,,,3-0,,,0-0,,,,,,1-0,8-1,,1-0,,,,,5-2,,4-1,42-9,,6-1,,,,5-3,,,5-1,,2-0,,,38-13,,,,,,,,,1-0,,
1958-03,760-102,,,,,42-14,,,,,,,15-3,31-5,,,,15-4,,16-2-Yoshibayama-Y Yoshibayama,,,,,,,,,11-5,,,9-0,,,,,,,5-2,,,48-8,35-11,,,,10-3,,,,,33-5,,,,32-8,,,,,3-0,,,0-0,,,,,,0-0,8-1,,1-0,,,,,5-2,,4-1,45-9,,6-1,,,,6-3,,,6-1,,2-0,,,40-14,,,,,,,,,1-0,,
1958-05,783-102,,,,,44-13,,,,,,,15-2,31-6,,,,15-4,,18-2,,,,,,,,,10-5,,,9-0,,,,,,,6-2,,,48-8,36-11,,,,10-3,,,,,34-6,,,,33-8,,,,,4-0,,,0-0,,,,,,0-0,8-1,,2-0,,,,,5-1,,4-1,48-10,,7-1,,,,7-3,,,6-1,,2-0,,,40-14,,,,,,,,,1-0,,
1958-07,791-102,,,,,44-12,,,,,,,14-2,36-6,,,,16-4,,18-2,,,,,,,,,10-5,,,9-0,,,,,,,6-2,,,48-10,36-11,,,,10-2,,,,,36-6,,,,32-8,,,,,4-0,,,0-0,,,,,,0-0,7-1,,2-0,,,,,5-1,,4-1,49-10,,8-1,,,,8-3,,,6-1,,2-0,,,39-14,,,,,,,,,1-0,,
1958-09,803-102,,,,,47-12,,,,,,,14-2,40-5,,,,17-4,,18-2,,,,,,,,,11-5,,,10-0,,,,,,,6-2,,,48-10,37-12,,,,10-2,,,,,36-6,,,,33-8,,,,,4-0,,,0-0,,,,,,0-0,7-1,,2-0,,,,,4-1,,4-1,48-10,,8-1,,,,8-3,,,6-1,,2-0,,,38-14,,,,,,,,,1-0,,
1958-11,795-98,,,,,45-11,,,,,,,12-2,42-5,,,,17-4,,18-2,,,,,,,,,10-3,,,11-1,,,,,,,6-2,,,51-10,37-12,,,,10-2,,,,,36-6,,,,36-9,,,,,4-0,,,0-0,,,,,,0-0,7-0,,2-0,,,,,4-1,,4-0,47-9,,7-0,,,,8-3,,,7-1,,2-0,,,39-15,,,,,,,,,2-0,,
1959-01,811-97,,,,,46-10,,,,,,,12-2,44-6,,,,18-4,,18-2,,,,,,,,,10-3,,,13-1,,,,,,,7-2,,,52-9,38-12,,,,11-2,,,,,38-7,,,,37-8,,,,,4-0,,,0-0,,,,,,0-0,8-0,,3-0,,,,,4-1,,4-0,49-9,,7-1,,,,8-3,,,7-1,,2-0,,,39-14,,,,,,,,,2-0,,
1959-03,827-94,,,,,46-9,,,,,,,11-2,46-7,,,,18-3,,18-2,,,,,,,,,10-3,,,15-1,,,,,,,8-2,,,54-9,40-12,,,,11-2,,,,,41-7,,,,37-6,,,,,4-0,,,1-0,,,,2-0-Magaki-K Shimizugawa,,0-0,10-0,,3-0,,,,,4-1,,4-0,54-9,,7-1,,,,8-3,,,7-1,,2-0,,,40-14,,,,,,,,,2-0,,
1959-05,868-91,,,,,49-9,,,,,,,10-2,46-6,,,,22-3,,22-3,,,,,,,,,10-3,,,16-1,,,,,,,9-2,,,56-8,41-11,,,,11-2,,,,,45-7,,,,39-5,,,,,4-0,,,1-0,,,,3-0,,0-0,10-0,,3-0,,,,,4-1,,4-0,57-10,,7-1,,,,8-3,,,7-1,,2-0,,,45-13,,,,,,,,,2-0,,
1959-07,856-87,,,,,48-7,,,,,,,10-2,46-6,,,,23-4,,22-3,,,,,,,,,8-3,,,16-1,,,,,,,9-2,,,53-8,39-10,,,,11-2,,,,,48-7,,,,37-4,,,,,4-0,,,1-0,,,,3-0,,0-0,10-0,,4-0,,,,,4-1,,4-0,60-9,,7-1,,,,8-4,,,8-1,,2-0,,,47-12,,,,,,,,,2-0,,
1959-09,858-85,,,,,50-7,,,,,,,11-2,46-6,,,,23-3,,23-3,,,,,,,,,8-3,,,16-1,,,,,,,9-2,,,53-7,43-11,,,,11-2-S Kozuzan,,,,,49-8,,,,37-4,,,,,4-0,,,1-0,,,,3-0,,0-0,10-0,,3-0,,,,,4-1,,4-0,59-9,,8-1,,,,8-3,,,8-1,,2-0,,,47-11,,,,,,,,,2-0,,
1959-11,816-84,,,,,50-6,,,,,,,11-2,45-5-Y Tochinishiki,,,,23-3,,22-2,,,,,,,,,7-3,,,15-1,,,,,,,8-2,,,50-8,42-11,,,,11-2,,,,,50-8,,,,37-5,,,,,4-0,,,1-0,,,,3-0,,0-0,10-0,,3-0,,,,,4-1,,4-0,58-9,,8-1,,,,9-3,,,7-1,,2-0,,,45-11,,,,,,,,,2-0,,
1960-01,819-79,,,,,51-6,,,,,,,11-1,46-5,,,,24-3,,22-2-Miyagino,,,,,,,,,7-3,,,17-1,,,,,,,8-2,,,51-7,43-11,,,,12-2,,,,,49-7,,,,37-5,,,,,4-0,,,2-0,,,,3-0,,0-0,10-0,,3-0,,,,,4-1,,4-0,59-9,,8-1,,,,9-3,,,7-1,,2-0,,,45-9,,,,,,,,,2-0,,
1960-03,795-79,,,,,50-7,,,,,,,10-1,46-5,,,,23-3,,25-2,,,,,,,,,7-2,,,20-1,,,,,,,9-2,,,50-8,42-11,,,,12-2,,,,,49-8,,,,37-4,,,,,3-0,,,2-0,,,,3-0,,0-0,9-0,,3-0,,,,,4-1,,5-0,59-9,,8-1,,,,11-3,,,7-1,,n,,,49-8,,,,,,,,,2-0,,
1960-05,799-79,,,,,54-7,,,,,,,11-1,48-6,,,,23-3,,26-2,,,,,,,,,5-2,,,19-1,,,,,,,10-2,,,51-8,44-11,,,,13-2,,,,,50-7,,,,37-4,,,,,3-0,,,2-0,,,,4-0,,0-0,10-0,,3-0,,,1-0-Nakagawa-M2 Kiyoenami,,4-1,,5-0,60-9,,8-1,,,,11-3,,,9-1,,n,,,47-8,2-0-Kumagatani-O Mitsuneyama,,,,,,,,2-0,,
1960-07,792-79,,,,,54-8,,,,,,,13-2,49-5,,,,24-4,,28-2,,,,,,,,,5-2,,,19-1,,,,,,,10-2,,,52-8,45-11,,,,12-2,,,,,54-6,,,,36-4,,,,,3-0,,,2-0,,,,4-0,,,11-0,,3-0,,,1-0,,4-0,,5-0,61-8,,8-1,1-0-M2 Futaseyama,,,11-3,,,9-1,,n,,,48-9,3-0,,,,,,,,3-0,,
1960-09,797-79,,,,,55-8,,,,,,,12-2,49-5,,,,24-3,,28-2,,,,,,,,,5-2,,,18-1,,,,,,,10-2,,,54-8,45-11,,,,12-2,,,,,55-8,,,,38-4,,,,,4-0,,,2-0,,,,5-0,,,10-0,,3-0,,,1-0,,4-0,,5-0,62-7,,8-1,2-0,,,11-3,,,9-1,,n,,,49-9,3-0,,,,,,,,3-0,,
1960-11,774-79,,,,,56-8,,,,,,,13-2,49-5,,,,23-3,,28-2,,,,,,,,,6-2,,,18-1,,,,,,,10-2,,,55-8,44-10,,,,12-2,,,,,59-9,,,,38-4,,,,,5-0,,,2-0,,,,5-0,,,10-0,,3-0,,,1-0,,3-1,,5-0,61-7,,8-1,2-0,,,10-2,,,9-1,,n,,,49-9,3-0,,,,,,,,3-0,,
1961-01,772-79,,,,,56-7-M1 Dewanohana,,,,,,,13-2,49-5,,,,24-3,,28-2,,,,,,,,,17-1-Tomozuna,,,20-1,,,,,,,10-2,,,55-8,44-12,,,,12-1,,,,,60-8,,,,41-4-Isegahama,,,,,5-0,,,2-0,,,,5-0,,,12-0,,4-0,,,1-0,,3-1,,5-0,63-7,,8-1,2-0,,,10-2,,,9-1,,n,,,50-10,3-0,,,,,,,,3-0,,
1961-03,773-77,,,,,59-7,,,,,,,17-2,49-4,,,,24-3,,29-2,,,,,,,,,17-1,,,20-1,,,,,,,10-2,,,55-9,46-10,,,,13-1,,,,,65-9,,,,43-5,,,,,5-0,,,3-0,,,,5-0,,,12-0,,4-0,,,2-0,,3-1,,5-0,65-6,,8-1,2-0,,,10-2,,,9-1,,n,,,51-9,4-0,,,,,,,,3-0,,
1961-05,777-77,,,,,60-7,,,,,,,19-2,51-4,3-0-Kataonami-S Tamanoumi II,,,23-2,,33-2,,,,,,,,,17-1,,,22-1,,,,,,,10-2,,,55-8,46-11,,,,12-1,,,,,66-9,,,,45-5,,,,,6-0,,,4-0,,,,6-0,,,12-0,,5-0,,,2-0,,3-1,,5-0,66-6,,9-1,2-0,,,10-2,,,8-1,,n,,,50-10,5-1-Takashima,,,,,,,,4-0,,
1961-07,777-77,,,,,64-7,,,,,,,19-2,54-4,3-0,,,23-2,,33-3,,,,,,,,,17-1,,,24-1,,,,,,,10-2,,,57-7,47-12,,,,13-1,,,,,69-8,,,,45-5,,,,,6-0,,,4-0,,,,7-0,,,12-0,,6-0,,,2-0,,3-1,,5-0,68-7,,10-1,3-0,,,10-2,,,8-1,,2-1-K Kuninobori,,,48-8,6-1,,,,,,,,4-0,,
1961-09,775-77,,,,,66-7,,,,,,,19-1,58-4,5-0,,,23-2,,35-3,,,,,,,,,17-1,,,25-1,,,,,,,10-2,,,57-6,48-14,,,,13-1,,,,,71-8,,,,49-6,,,,,6-0,,,4-0,,,,7-0,,,12-0,,6-0,,,2-0,,,,6-0,70-7,,10-1,3-0,,,10-2,,,8-1,,2-1,,,49-8,7-1,,,,,,,,4-0,,
1961-11,750-77,,,,,66-7,,,,,,,20-1,59-5,7-0,,,22-2,,35-3,,,,,,,,,17-1,,,26-1,,,,,,,10-2,,,57-6,50-14,,,,13-1,,,,,72-8,,,,51-6,,,,,6-0,,,6-0,,,,8-0,,,13-0,,6-0,,,2-0,,,,7-0,72-6,,10-1,3-0,,,10-2,,,8-1,,2-1,,,49-8,8-1,,,,,,,,4-0,,
1962-01,760-77,,,,,70-7,,,,,,,20-1,62-5,7-0,,,23-2,,35-3,,,,,,,,,18-1,,,30-1,,,,,,,10-2,,,57-6,56-15,,,,14-1,,,,,70-8,,,,51-6,,,,,7-0,,,6-0,,,,9-0,,,13-0,,6-0,,,2-0,,,,7-0,71-6,,10-1,5-0,,,11-2,,,7-0,,2-1,,,51-8,8-1,,,,,,,,4-0,,
1962-03,736-77,,,,,69-7,,,,,,,20-1,61-5,7-0,,,24-2,,34-3,,,,,,,,,19-1,,,29-1,,,,,,,10-2,,,53-5,54-15,,,,14-1,,,,,67-8,,,,49-6,,,,,7-0,,,5-0,,,,8-0,,,12-0,,6-0,,,2-0,,,,6-0,65-7,,9-1,5-0,,,11-2,,,7-0-O Matsunobori,,2-1,,,46-8,8-1,,,,,,,,4-0,,
1962-05,751-77,,,,,66-8,,,,,,,21-1,61-5,15-2,,,24-2,,34-3,,,,,,,,,20-1,,,29-1,,,,,,,10-2,,,51-6,56-15,,,,14-0,,,,,58-7,,,,50-6,,,,,6-0,,,5-0,,,,8-0,,,12-0,,6-0,,,2-0,,,,6-0,56-6,,7-1,5-0,,,11-2,,,6-0,,2-1,,,48-7,9-1,,,,,,,,3-0,,
1962-07,747-77,,,,,63-8,,,,,,,20-1,58-5,15-2,,,24-3,,34-3,,,,,,,,,18-1,,,28-2,,,,,,,10-2,,,49-6,56-15,,,,13-0,,8-0-Futagoyama-Y Wakanohana I,,,55-6,,,,48-5,,,,,6-0,,,5-0,,,,8-0,,,9-0,,6-0,,,2-0,,,,6-0,57-7,,6-1,5-0,,,10-1,,,5-0,,2-1,,,43-7,9-1,,,,,,,,,,
1962-09,750-77,,,,,60-8,,,,,,,21-1,58-5,15-2,,,25-4,,34-3,,,,,,,,,18-0,,,28-2,,,,,,,12-2,,,49-6,54-14,,,,13-0,,10-0,,,51-7,,,,48-4,,,,,6-0,,,5-0,,,,8-0,,,8-0,,6-0,,,2-0,,,,5-0,55-7,,6-1,5-0,,,10-1,,,4-0,,2-1,,,44-8,9-1,,,,,1-0-Tanigawa-J5 Yahatano,,,,,
1962-11,725-77,,,,,60-7,,,,,,,20-1,53-5,14-1,,,24-4,,32-3,,,,,,,,,16-0,,,29-2,,,,,,,12-2,,,49-6,52-14,,,,13-0,,11-0,,,51-7,,,,46-5,,,,,6-0,,,5-0,,,,8-0,,,7-0,,5-0,,,0-0,,,,5-0,51-8,,5-1,5-0,,,10-1,,,4-0,,2-1,,,44-8,10-1,,,,,1-0,,,,,
1963-01,745-77,,,,,64-6,,,,,,,20-1,54-5,16-1,,,24-4,,32-3,,,,,,,,,16-0,,,27-2,,,,,,,12-2,,,47-6,51-14,,,,14-1,,11-0,,,48-7,,,,44-5,,,,,6-0,,,6-0,,,,6-0,,,8-0,,5-0,,,0-0,,,,5-0,51-8,,5-1,5-0,,,10-1,,,4-0,,2-1,,,44-8,10-1,,,,,1-0,,,,,
1963-03,749-77,,,,,68-7,,,,,,,20-1,49-5,16-1,,,23-4,,32-3,,,,,,,,,17-0,,,26-2,,,,,,,12-2,,,49-6,51-13,,,,14-1,,13-0,,,48-7,,,,42-5,,,,,6-0,,,5-0,,,,5-0,,,9-0,,4-0,,,0-0,,,,5-0,52-8,,5-1,5-0,,,10-1,,,3-0,,2-1,,,46-8,9-1,,,,,1-0,,,,,
1963-05,786-77,,,,,67-8,,,,,,,20-1,54-5,18-1,,,23-4,,31-4,,,,,,,,,18-0,,,25-1,,,,,,,12-2,,,51-7,53-12,,,,14-1,,16-0,,,47-7,,,,42-5,,,,,6-0,,,5-0,,,,5-0,,,9-0,,4-0,,,2-0,,,,5-0,55-8,,5-1,5-0,,,9-1,,,3-0,,2-1,,,48-7,11-1,,,,,1-0,,,,,
1963-07,795-77,,,,,66-10,,,,,,,20-1,56-5,23-1,,,23-4,,29-4,,,,,,,,,17-0,,,24-1,,,,,,,11-2,,,50-8,49-10,,,,21-1-M2 Futaseyama,,17-0,,,46-7,,,,41-6,,,,,6-0,,,6-0,,,,5-0,,,9-0,,4-0,,,2-0,,,,5-0,53-8,,5-1,,,,10-1,,,2-0,,2-1,,,43-5,14-1,,,,,2-0,,,,,
1963-09,794-77,,,,,64-10,,,,,,,20-1,58-5,25-2,,,22-4,,27-3,,,,,,,,,16-0,,,23-1,,,,,,,11-2,,,49-8,52-11,,,,21-1,,18-0,,,49-7,,,,40-6,,,,,6-0,,,6-0,,,,5-0,,,9-0,,3-0,,,2-0,,,,5-0,54-8,,5-1,,,,10-1,,,2-0,,2-0,,,44-5,16-1,,,,,2-0,,,,,
1963-11,772-77,,,,,62-10,,,,,,,20-1,50-4,25-2,,,21-4,,25-3,,,,,,,,,16-0,,,24-1,,,,,,,12-2,,,47-8,51-11,,,,19-1,,19-0,,,48-8,,,,37-5,,,,,5-0,,,6-0,,,,5-0,,,9-0,,3-0,,,2-0,,,,4-0,53-9,,5-1,,,,8-1,,,2-0,,1-0,,,43-5,18-1,,,,,2-0,,,,,
1964-01,785-76,,,,,61-9,,,,,,,22-1,51-4,28-2,,,20-3,,25-4,,,,,,,,,16-0,,,25-1,,,,,,,12-2,,,48-8,53-11,,,,20-1,,20-0,,,47-7,,,,36-7,,,,,6-0,,,6-0,,,,5-0,,,9-0,,3-0,,,2-0,,,,4-0,55-9,,5-1,,,,8-1,,,2-0,,1-0,,,42-4,19-1,,,,,3-0,,,,,
1964-03,794-76,,,,,60-11,,,,,,,23-1,52-4,29-2,,,20-3,,26-4,,,,,,,,,15-0,,,25-1,,,,,,,12-2,,,49-8,58-11,,,,20-2,,21-0,,,48-7,,,,34-7,,,,,7-0,,,6-0,,,,5-0,,,8-0,,3-0,,,2-0,,,,,59-8,,5-1,,,,8-1,,,2-0,,,,,41-3,19-0,,,,,3-0,,,,,
1964-05,826-76,,,,,64-11,,,,,,,23-1,56-4,32-2,,,19-3,,26-4,,,,,,,,,15-0,,,27-2,,,,,,,12-3,,,50-8,58-10,,,,20-2,,24-0,,,47-7,,,,39-7,,,,,7-0,,,6-0,,,,5-0,,,10-0,,3-0,,,3-0,,,,,60-7,,5-1,,,,8-1,,,2-0,,,,,42-3,21-0,,,,,3-0,,,,,
1964-07,822-76,,,,,64-12,,,,,,,24-1,55-5,32-2,,,17-2,,25-3,,,,,,,,,13-0,,,28-2,,,,,,,11-3,,,50-8,60-10,,,,21-2,,27-0,,,48-7,,,,38-7,,,,,7-0,,,6-0,,,,4-0,,,10-0,,3-0,,,4-0,,,,,59-7,,5-1,,,,8-1,,,3-0,,,,,42-3,21-0,,,,,3-0,,,,,
1964-09,829-76,,,,,65-10,,,,,,,23-1,57-4,33-2,,,17-2,,24-3,,,,,,,,,13-0,,,27-2,,,,,,,11-3,,,50-8,62-11,,,,22-2,,29-0,,,48-7,,,,39-7,,,,,7-0,,,5-0,,,,4-0,,,10-0,,3-0,,,4-0,,,,,58-7,,5-1,,,,8-2,,,3-0,,,,,42-4,22-0,,,,,3-0,,,,,
1964-11,814-76,,,,,65-9,,,,,,,22-1,57-4,33-2,,,15-2,,21-4,,,,,,,,,13-0,,,27-2,,,,,,,11-3,,,51-8,62-10,,,,23-1,,32-1,,,47-7,,,,38-7,,,,,7-0,,,5-0,,,,5-0,,,11-0,,,,,5-0,,,,,59-7,,5-1,,,,8-2,,,3-0,,,,,38-5,22-0,,,,,3-0,,,,,
1965-01,821-76,,,,,72-11,,,,,,,21-1,58-4,34-2,,,17-2,,22-4,,,,,,,,,12-0,,,28-2,,,,,,,11-2,,,56-9,63-12,,,,24-2,,34-0,,,48-7,,,,40-6,,,,,7-0,,,5-0,,,,5-0,,,11-0,,,,,5-0,,,,,59-7,,,,,,,,,3-0,,,,,37-5,22-0,,,,,3-0,,,,,
