Basho,Overall,Ajigawa-205,Arashio-303,Asahiyama-204,Asakayama-203,Dewanoumi-28,Fujishima-3,Futagoyama-4,Hakkaku-402,Hanaregoma-110,Ikazuchi-5,Isegahama-200,Isenoumi-305,Kasugano-2,Kataonami-109,Kise-6,Kokonoe-403,Michinoku-302,Minato-111,Miyagino-210,Musashigawa-9,Naruto-113,Nishiiwa-114,Nishikido-405,Nishonoseki-100,Oitekaze-307,Onoe-10,Onomatsu-116,Oshima-201,Oshiogawa-117,Otake-115,Sadogatake-112,Sakaigawa-11,Shibatayama-108,Shikihide-12,Shikoroyama-119,Tagonoura-101,Takadagawa-120,Takasago-400,Takekuma-13,Tamanoi-14,Tatsunami-1,Tokitsukaze-300,Tokiwayama-107,Yamahibiki-8,Araiso-121,Asahiyama-208,Azumazeki-407,Futagoyama-102,Futagoyama-517,Hanakago-531,Hanakago-103,Hanakago-122,Hanaregoma-106,Hatachiyama-16,Isegahama-206,Izutsu-301,Kabutoyama-310,Kagamiyama-312,Kasugayama-537,Kasugayama-224,Kasugayama-231,Kiriyama-207,Kise-223,Kokonoe-404,Kumagatani-209,Kumagatani-213,Magaki-220,Magaki-124,Michinoku-320,Mihogaseki-7,Minatogawa-535,Minatogawa-126,Minezaki-123,Miyagino-533,Nakagawa-217,Nakagawa-309,Nakamura-128,Nakamura-406,Nishikijima-306,Nishonoseki-105,Oguruma-118,Oitekaze-221,Onaruto-218,Onaruto-215,Onogawa-19,Onogawa-20,Oshima-214,Oshiogawa-125,Oyama-411,Sadogatake-414,Sanoyama-410,Tagonoura-15,Takanohana-104,Takasago-401,Takashima-216,Takashima-212,Takekuma-229,Takekuma-211,Tamanoi-525,Tanigawa-219,Tatsutagawa-311,Tomozuna-501,Urakaze-230,Wakafuji-228,Yamawake-26
1940-01,634-81,,,,,46-26,,,,,,,,11-4,,,,8-5,,,,,,,,,,,4-1,,,,,,,,,,1-1,,,22-8,,,,,8-3,,,1-0,3-1,,,,,16-6,,,,2-0,,,,,,1-0,,,,2-1,3-0,4-1,,,2-0,,,2-1,,7-2,17-3,,0-0,,,4-3,,,,1-1-Oyama-S Takanobori,1-1,,,,19-2,,,3-0,,3-2-Tamanoi-J1 Mutsunishiki,,,2-2,,1-0,3-2
1940-05,681-82,,,,,49-27,,,,,,,,13-3,,,,9-6,,,,,,,,,,,4-1,,,,,,,,,,1-1,,,24-9,,,,,8-4,,,1-0,3-1,,,,,15-6,,,,2-0,,,,,,1-0,,,,2-2,3-0,4-1,,,3-1,,,2-1,,7-2,19-3,,1-0,,,3-2,,,,2-0,1-1,,,,21-1,,,3-0,,1-0,,,2-2,,1-1,3-2
1941-01,635-83,,,,,50-27,,,,,,,,11-4,,,,9-5,,,,,,,,,,,4-2,,,,,,,,,,2-1,,,26-8,,,,,8-3,,,1-1,3-1,,,,,17-7,,,,4-0,,,,,,1-1,,,,2-2,3-0,4-1,,,2-0,,,1-1,,8-2,19-4,,1-0,,,3-1,,,,3-0,1-1,,,,22-2,,,3-0,,1-0,,,1-1,,1-1,3-2
1941-05,644-85,,,,,50-27,,,,,,,,11-3,,,,8-5,,,,,,,,,,,4-1,,,,,,,,,,3-1,,,28-8,,,,,8-4,,,1-0,3-1,,,,,17-7,,,,4-0,,,,,,1-1,,,,2-2,2-0,4-1,,,2-0,,,1-1,,8-2,20-5,,1-0,,,3-2,,,,3-0,1-1,,,,23-3,,,3-1,,1-0,,,1-1,,1-1,3-2
1942-01,623-85,,,,,51-28,,,,,,,,11-3,,,,7-6,,,,,,,,,,,7-1,,,,,,,,,,3-1,,,24-6,15-2-Futabayama-Y Futabayama,,,,8-3,,,1-0,3-1,,,,,18-7,,,,3-0,,,,,,1-1,,,,1-1,2-0,4-1,,,2-0,,,2-1,,8-3,20-6,,1-0,,,0-0-M11 Ononishiki,4-2-Jinmaku-M4 Aobayama,,,2-0,1-1,,,,23-3-Y Maedayama,,,3-0,,1-0,,,1-1,,1-1,3-2
1942-05,623-82,,,,,51-27,,,,,,,1-1-Isenoumi-K Kashiwado,11-5,,,,8-3,,,,,,,,,,,7-2,,,,,,,,,,3-1,,,23-6,15-1,,,,7-4,,,1-1,3-1,,,,,21-7,,,,2-0,,,,,,1-1,,,,1-1,2-0,4-1,,,2-1,,,2-1,,8-2,19-5,,1-0,,,0-0,3-1,,,2-0,0-0,,,,24-3,,,3-1,,1-0,,,1-1,,1-1,2-1
1943-01,604-78,,,,,49-25,,,,,,,1-1,11-5,,,,8-3,,,,,,,,,,,8-2,,,,,,,,,,3-1,,,22-5,15-1,,,,7-4,,,1-0,2-2,,,,,20-6,,,,2-0,,,,,,1-1,,,,1-1,2-0,3-0,,,2-0,,,2-1-M1 Tatekabuto,,8-3,18-9,,1-0,,,0-0,3-1,,,2-0,0-0,,,,24-3,,,3-0,,1-0,,,1-1,,1-1,1-0
1943-05,577-80,,,,,47-27,,,,,,,1-1,11-6,,,,8-4,,,,,,,,,,,9-2,,,,,,,,,,3-1,,,22-5,19-3,,,,6-3,,,1-0,2-0,,,,,20-6,,,,2-0,,,,,,1-1,,,,1-1,2-0,2-0,,,2-1,,,1-0,,8-2,19-10,,1-0,,,0-0,2-1,,,2-0,0-0,,,,25-3,,,3-0,,1-0,,,1-0,,1-1,1-0
1944-01,540-80,,,,,46-21,,,,,,,1-1,11-6,,,,6-3,,,,,,,,,,,9-2,,,,,,,,,,3-1,,,22-6,20-3,,,,6-3-S Futasegawa,,,1-1,2-1,,,,,20-6,,,,2-0,,,,,,1-1,,,,1-1,2-0,1-0,,,2-1,,,1-0,,8-4,21-9,,1-0,,,0-0,2-1,,,2-0,0-0,,,,25-6,,,2-0,,1-0,,,0-0,,1-1,1-0
1944-05,494-82,,,,,42-20,,,,,,,1-1,12-7,,,,6-3,,,,,,,,,,,10-2,,,,,,,,,,3-1,,,22-7,20-4,,,,6-3,,,1-0,2-1,,,,,20-8,,,,2-0,,,,,,1-1,,,,1-1,2-0,1-1,,,2-1,,,1-0,,7-4,22-8,,1-0,,,,1-0,,,2-0,0-0,,,,23-6,,,2-0,,1-0,,,0-0,,1-1,1-0
